"","Cell","PredictedID"
"170_3","170_3","Epithelial"
"171_3","171_3","Epithelial"
"172_3","172_3","Epithelial"
"173_3","173_3","Epithelial"
"174_3","174_3","Epithelial"
"175_3","175_3","Epithelial"
"176_3","176_3","Epithelial"
"177_3","177_3","Epithelial"
"178_3","178_3","Epithelial"
"179_3","179_3","Epithelial"
"180_3","180_3","Epithelial"
"1_4","1_4","T cells"
"2_4","2_4","T cells"
"3_4","3_4","Epithelial"
"4_4","4_4","NK"
"5_4","5_4","T cells"
"6_4","6_4","Epithelial"
"7_4","7_4","Epithelial"
"8_4","8_4","Epithelial"
"9_4","9_4","Epithelial"
"10_4","10_4","Epithelial"
"11_4","11_4","Epithelial"
"12_4","12_4","Epithelial"
"13_4","13_4","Epithelial"
"14_4","14_4","Epithelial"
"15_4","15_4","Epithelial"
"16_4","16_4","T cells"
"17_4","17_4","Mast cells"
"18_4","18_4","Epithelial"
"19_4","19_4","Epithelial"
"20_4","20_4","plasma cells"
"21_4","21_4","Epithelial"
"22_4","22_4","Epithelial"
"23_4","23_4","Epithelial"
"24_4","24_4","Epithelial"
"25_4","25_4","Epithelial"
"26_4","26_4","Epithelial"
"27_4","27_4","Epithelial"
"28_4","28_4","T cells"
"29_4","29_4","Epithelial"
"30_4","30_4","Epithelial"
"31_4","31_4","Epithelial"
"32_4","32_4","T cells"
"33_4","33_4","Epithelial"
"34_4","34_4","CAFs"
"35_4","35_4","Epithelial"
"36_4","36_4","T cells"
"37_4","37_4","T cells"
"38_4","38_4","T cells"
"39_4","39_4","Epithelial"
"40_4","40_4","B cells"
"41_4","41_4","CAFs"
"42_4","42_4","Epithelial"
"43_4","43_4","Epithelial"
"44_4","44_4","T cells"
"45_4","45_4","CAFs"
"46_4","46_4","Epithelial"
"47_4","47_4","T cells"
"48_4","48_4","Epithelial"
"49_4","49_4","T cells"
"50_4","50_4","Epithelial"
"51_4","51_4","T cells"
"52_4","52_4","Epithelial"
"53_4","53_4","T cells"
"54_4","54_4","B cells"
"55_4","55_4","Epithelial"
"56_4","56_4","B cells"
"57_4","57_4","Epithelial"
"58_4","58_4","Epithelial"
"59_4","59_4","Epithelial"
"60_4","60_4","Myofib"
"61_4","61_4","Epithelial"
"62_4","62_4","Epithelial"
"63_4","63_4","plasma cells"
"64_4","64_4","Epithelial"
"65_4","65_4","Epithelial"
"66_4","66_4","Epithelial"
"67_4","67_4","Epithelial"
"68_4","68_4","Epithelial"
"69_4","69_4","Epithelial"
"70_4","70_4","Epithelial"
"71_4","71_4","Epithelial"
"72_4","72_4","Endothelial"
"73_4","73_4","CAFs"
"74_4","74_4","Myofib"
"75_4","75_4","Epithelial"
"76_4","76_4","Epithelial"
"77_4","77_4","T cells"
"78_4","78_4","Epithelial"
"79_4","79_4","Epithelial"
"80_4","80_4","Epithelial"
"81_4","81_4","Epithelial"
"82_4","82_4","Epithelial"
"83_4","83_4","Epithelial"
"84_4","84_4","Epithelial"
"85_4","85_4","T cells"
"86_4","86_4","Epithelial"
"87_4","87_4","Endothelial"
"88_4","88_4","CAFs"
"89_4","89_4","T cells"
"90_4","90_4","Epithelial"
"91_4","91_4","plasma cells"
"92_4","92_4","Epithelial"
"93_4","93_4","Epithelial"
"94_4","94_4","Epithelial"
"95_4","95_4","Mast cells"
"96_4","96_4","T cells"
"97_4","97_4","Endothelial"
